,County,State,num_icu_be,irr2010,popOver60,deaths,Total Population,cluster
404,Union,Iowa,4.0,0.55,3366,1,12497,1
405,Wapello,Iowa,11.0,0.5,8335,31,35321,1
406,Webster,Iowa,8.0,0.51,8966,5,36945,1
407,Woodbury,Iowa,34.0,0.46,20666,46,102397,1
408,Atchison,Kansas,4.0,0.53,3518,0,16466,1
409,Barton,Kansas,4.0,0.54,6712,2,27067,1
410,Butler,Kansas,16.0,0.5,13403,0,66260,1
411,Cowley,Kansas,4.0,0.52,8333,1,35732,1
412,Crawford,Kansas,12.0,0.5,7956,1,39099,1
413,Douglas,Kansas,10.0,0.43,18450,0,117806,1
414,Ellis,Kansas,34.0,0.55,5912,0,28877,1
415,Finney,Kansas,8.0,0.55,5555,10,37097,1
416,Ford,Kansas,10.0,0.54,5103,10,34658,1
417,Franklin,Kansas,5.0,0.52,5593,1,25599,1
418,Geary,Kansas,6.0,0.49,3964,1,35796,1
419,Harvey,Kansas,6.0,0.5,8619,3,34683,1
420,Johnson,Kansas,97.0,0.28,110038,95,578797,0
421,Labette,Kansas,5.0,0.53,5125,0,20553,1
422,Leavenworth,Kansas,10.0,0.46,15061,7,79359,1
423,Lyon,Kansas,6.0,0.52,6409,7,33302,1
424,McPherson,Kansas,7.0,0.53,7540,0,28792,1
425,Mitchell,Kansas,4.0,0.59,1776,0,6230,1
426,Montgomery,Kansas,7.0,0.51,8712,3,33463,1
427,Neosho,Kansas,5.0,0.54,4042,0,16209,1
428,Pratt,Kansas,6.0,0.57,2512,0,9670,1
429,Reno,Kansas,18.0,0.5,15902,0,63360,1
430,Riley,Kansas,8.0,0.47,8478,3,75696,1
431,Saline,Kansas,18.0,0.49,12413,3,55334,1
432,Sedgwick,Kansas,147.0,0.35,97508,32,510484,0
433,Seward,Kansas,8.0,0.55,3309,2,22948,1
434,Shawnee,Kansas,36.0,0.4,41511,13,178392,1
435,Thomas,Kansas,1.0,0.61,1833,0,7847,1
436,Wyandotte,Kansas,129.0,0.29,27635,88,163227,1
437,Barren,Kentucky,10.0,0.49,9933,2,43418,1
438,Bell,Kentucky,7.0,0.51,6714,0,27469,1
439,Boone,Kentucky,18.0,0.37,22880,23,127682,1
440,Bourbon,Kentucky,4.0,0.51,4949,1,20017,1
441,Boyd,Kentucky,38.0,0.42,12601,3,48486,1
442,Boyle,Kentucky,22.0,0.48,7324,0,29773,1
443,Breathitt,Kentucky,4.0,0.55,2950,0,13276,1
444,Calloway,Kentucky,10.0,0.5,8253,1,38616,1
445,Campbell,Kentucky,21.0,0.38,19251,13,91804,1
446,Christian,Kentucky,18.0,0.47,11300,4,72438,1
447,Clark,Kentucky,8.0,0.47,8552,6,35757,1
448,Clay,Kentucky,6.0,0.53,4137,4,20866,1
449,Daviess,Kentucky,32.0,0.44,22152,8,99258,1
450,Fayette,Kentucky,248.0,0.33,55235,40,315109,1
451,Fleming,Kentucky,3.0,0.54,3347,0,14515,1
452,Floyd,Kentucky,16.0,0.5,8825,1,37447,1
453,Franklin,Kentucky,10.0,0.45,11999,4,49969,1
454,Graves,Kentucky,8.0,0.51,8947,21,37259,1
455,Grayson,Kentucky,6.0,0.51,6066,11,26129,1
456,Hardin,Kentucky,10.0,0.44,19472,7,107699,1
457,Harlan,Kentucky,7.0,0.51,6579,2,27548,1
458,Harrison,Kentucky,6.0,0.52,4370,0,18630,1
459,Henderson,Kentucky,12.0,0.48,10871,4,46252,1
460,Hopkins,Kentucky,19.0,0.49,11048,35,45985,1
461,Jefferson,Kentucky,355.0,0.19,161771,229,764378,0
462,Johnson,Kentucky,6.0,0.51,5441,0,23064,1
